"doy","NEE_gCm2day","NEE_unc_gCm2day","GPP_gCm2day","GPP_unc_gCm2day","Reco_gCm2day","Reco_unc_gCm2day","Evap_kgH2Om2day","Evap_unc_kgH2Om2day","LAI_m2m2","LAI_unc_m2m2","Cwood_stock_gCm2","Cwood_stock_unc_gCm2","Evap_obs_unc_kgH2Om2day","Evap_mod_unc_kgH2Om2day","LAI_obs_unc_m2m2","LAI_mod_unc_m2m2","NEE_obs_unc_gCm2day","NEE_mod_unc_gCm2day","Cwood_stock_obs_unc_gCm2","Cwood_stock_mod_unc_gCm2"
31,0.76037654096554,1.18820145832941,0.166988950501224,1.09145610328221,0.698152164739408,1.00136023519995,0.0348263256273402,0.133806898599187,-9999,-9999,-9999,-9999,0.100814223040227,0.0879816943774588,-9999,0.261316540235294,0.641734139325722,1,-9999,545.5
59,0.225227547244486,1.18624884388657,0.138205930058182,1.10541239178866,0.283819819208826,1.00134961678702,0.0492371331025027,0.131721822286991,-9999,-9999,-9999,-9999,0.0980298929973763,0.0879816943774588,-9999,0.261316540235294,0.638111526006407,1,-9999,545.5
90,0.281066496140896,1.20157614213293,0.558195240526125,1.33072971077143,0.598017045407377,1.00073272675592,0.264254137643555,0.147537352313297,-9999,-9999,-9999,-9999,0.118433490964716,0.0879816943774588,-9999,0.261316540235294,0.666172068870386,1,-9999,545.5
120,-1.30128987671438,1.16764497182505,2.51353438699397,1.42674400008525,1.09919090160511,1.00006191826917,0.558313661776977,0.118691599233604,1.183333395,0.297645062693041,-9999,-9999,0.0796675415906745,0.0879816943774588,0.142499997,0.261316540235294,0.602822345495191,1,-9999,545.5
151,-1.60719582142497,1.18390988358141,4.13387974970159,1.51106568362089,2.27066577575262,1.0001496486924,0.942608642017305,0.156323188029761,1.288888956,0.333162788112308,-9999,-9999,0.129213623779613,0.0879816943774588,0.206666662,0.261316540235294,0.633752800736806,1,-9999,545.5
181,-2.60767567197884,1.28835946659851,8.40054698919518,1.25832728967846,5.81210223461146,1.00629300419879,1.67340375861833,0.282546282225537,3.588889076,0.685125847677709,-9999,-9999,0.268498832500151,0.0879816943774588,0.633333319,0.261316540235294,0.81232389794588,1,-9999,545.5
212,-2.0308526966987,1.23387984924613,8.16427376915292,1.52250599796732,5.77965534044918,1.00061934099651,1.833343019951,0.252612387884809,3.977777985,0.637669530851286,-9999,-9999,0.236795776920402,0.0879816943774588,0.581666654,0.261316540235294,0.722813587569892,1,-9999,545.5
243,-1.01467693513663,1.2004237725257,6.52106446841557,1.57747020501576,4.53341478210694,1.00023993347375,1.1795570221482,0.184828338643056,3.355555731,0.57305001786977,-9999,-9999,0.162544566873284,0.0879816943774588,0.509999989,0.261316540235294,0.664091284120512,1,-9999,545.5
273,-0.0874884539546118,1.26764883523357,4.64812404142532,1.62092141461143,4.13536033131235,1.00062086441785,0.695887960454233,0.212467648878189,2.566666801,0.531943702286968,-9999,-9999,0.193395251426442,0.0879816943774588,0.463333323,0.261316540235294,0.779059413311349,1,-9999,545.5
304,0.99140283692129,1.15602768132947,1.34294155496883,1.69048763015474,2.12112460567742,1,0.134103932861895,0.0889978493763689,1.400000073,0.396596908963538,-9999,-9999,0.0134103932861895,0.0879816943774588,0.298333327,0.261316540235294,0.58,1,-9999,545.5
